name,location,rating,votes,cost,cuisines,cluster,segment
Kannur Food Point,BTM,4.0,139,200.0,"Kerala, Chinese",1,Budget crowd-pleasers
Royal Paris,BTM,3.9,71,1000.0,"North Indian, Arabian, Chinese",1,Budget crowd-pleasers
Crave Bit Cafe,JP Nagar,3.7,0,600.0,Cafe,1,Budget crowd-pleasers
TAB - Take A Break,JP Nagar,4.1,523,550.0,"Cafe, Continental, Italian",1,Budget crowd-pleasers
Mecaf Family Restaurant,BTM,3.9,214,600.0,"North Indian, Chinese, Fast Food, Rolls, Beverages",1,Budget crowd-pleasers
The Shawarma Shop,BTM,4.1,382,250.0,Arabian,1,Budget crowd-pleasers
Roving Feast,Banashankari,4.0,1050,450.0,"Italian, Continental, Fast Food, Chinese, Momos",1,Budget crowd-pleasers
Hara Fine Dine,Banashankari,4.0,634,800.0,"North Indian, Chinese",1,Budget crowd-pleasers
Savoury - Sea Shell Restaurant,Bannerghatta Road,3.9,1230,900.0,"Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",2,Hidden gems
Nouvelle Garden,JP Nagar,3.7,203,900.0,"North Indian, Continental, Italian",1,Budget crowd-pleasers
Biryani Nights,Bannerghatta Road,3.5,20,400.0,"South Indian, North Indian, Chinese",0,Underperformers
Wudfyr,JP Nagar,3.8,0,700.0,"Fast Food, Italian, North Indian, Steak",1,Budget crowd-pleasers
Shagun Sweets & Foods,BTM,3.6,221,400.0,"Mithai, North Indian, Street Food, Chinese",1,Budget crowd-pleasers
Navya Foods,HSR,3.4,7,300.0,"North Indian, Fast Food",0,Underperformers
Black Cup Cafe,BTM,3.7,28,400.0,"Cafe, Fast Food, Beverages",1,Budget crowd-pleasers
Drunken Monkey,JP Nagar,3.7,125,400.0,"Beverages, Fast Food",1,Budget crowd-pleasers
Tandoor Garden,BTM,3.6,71,350.0,"North Indian, Chinese, Kebab",1,Budget crowd-pleasers
The Paratha Stories,JP Nagar,3.9,0,250.0,North Indian,1,Budget crowd-pleasers
Xpress Chai,BTM,3.7,31,150.0,Tea,1,Budget crowd-pleasers
Modern Restaurant,BTM,3.0,18,450.0,"North Indian, Chinese",0,Underperformers
Spice Code,JP Nagar,4.0,166,1000.0,"South Indian, North Indian, Chinese, Biryani",1,Budget crowd-pleasers
Anand Sweets and Savouries,Banashankari,3.7,46,400.0,"Mithai, Street Food",1,Budget crowd-pleasers
Alfa Family Restaurant,Wilson Garden,3.0,30,400.0,"North Indian, Arabian, Chinese",0,Underperformers
Beijing Bites,JP Nagar,4.0,99,850.0,"Chinese, Thai",1,Budget crowd-pleasers
The Punjabi Rasoi,JP Nagar,3.4,0,800.0,North Indian,0,Underperformers
Roti Wala,BTM,4.2,200,300.0,North Indian,1,Budget crowd-pleasers
Maa'r Rannaghor,JP Nagar,3.9,22,400.0,"Bengali, Chinese",1,Budget crowd-pleasers
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,4.4,344,100.0,South Indian,1,Budget crowd-pleasers
Messy Bowl,Banashankari,3.5,73,500.0,"Fast Food, Beverages",0,Underperformers
Royal Chef Naati Oota,JP Nagar,4.0,194,500.0,"South Indian, Biryani, North Indian",1,Budget crowd-pleasers
Swathi Restaurant,JP Nagar,3.9,49,400.0,"Mangalorean, North Indian, Chinese",1,Budget crowd-pleasers
Kirthi's Biryani,Banashankari,3.8,146,700.0,"Chinese, Cafe, Italian",1,Budget crowd-pleasers
Woody's,JP Nagar,2.5,208,650.0,"Chinese, South Indian, North Indian",0,Underperformers
The Krishna Grand,Banashankari,3.9,893,750.0,"North Indian, South Indian, Chinese, Fast Food, Juices",1,Budget crowd-pleasers
Desi Aahar,BTM,3.3,0,400.0,"North Indian, Chinese, Seafood",0,Underperformers
Namma Banashankari Donne Biryani,JP Nagar,4.1,101,250.0,"Biryani, Kebab",1,Budget crowd-pleasers
White Horse,JP Nagar,3.8,179,400.0,"North Indian, Mangalorean, Chinese",1,Budget crowd-pleasers
New Imperial Restaurant,Banashankari,3.7,41,450.0,"North Indian, Chinese",1,Budget crowd-pleasers
Coconut Grove,JP Nagar,3.3,97,1100.0,"South Indian, Chettinad, Kerala, Seafood",0,Underperformers
Marenahalli Donne Biriyani,JP Nagar,4.0,263,300.0,"Biryani, Fast Food",1,Budget crowd-pleasers
Ashirvaad Grand,BTM,4.0,115,400.0,"Chinese, North Indian, South Indian",1,Budget crowd-pleasers
Srikrishna Bhavan,Banashankari,3.8,42,300.0,"South Indian, North Indian, Chinese",1,Budget crowd-pleasers
Cafe Mondo,Basavanagudi,3.7,513,600.0,"Cafe, Italian, Beverages",1,Budget crowd-pleasers
Udupi Grand,Basavanagudi,3.8,76,300.0,"South Indian, North Indian, Chinese",1,Budget crowd-pleasers
Avon Bar & Kitchen,BTM,3.8,105,700.0,"Andhra, Chinese, North Indian",1,Budget crowd-pleasers
Marwa Restaurant,Bannerghatta Road,3.5,552,600.0,"North Indian, Chinese, Fast Food, BBQ",0,Underperformers
Pallavi North Indian Veg Restaurant,JP Nagar,3.7,246,450.0,"Biryani, North Indian, Chinese",1,Budget crowd-pleasers
Peat & Fire,JP Nagar,3.8,0,700.0,"North Indian, Maharashtrian",1,Budget crowd-pleasers
Gowdru Mane Oota,JP Nagar,3.7,83,400.0,"South Indian, Andhra",1,Budget crowd-pleasers
Tasty Bites,JP Nagar,3.8,217,450.0,North Indian,1,Budget crowd-pleasers
Millet Mama,Basavanagudi,3.9,18,200.0,"South Indian, Healthy Food",1,Budget crowd-pleasers
The Foodyz,JP Nagar,3.6,43,500.0,"North Indian, Chinese",1,Budget crowd-pleasers
Just Sandwiches,BTM,3.6,10,100.0,Sandwich,1,Budget crowd-pleasers
Shri Ram Sweet Centre,BTM,4.0,160,150.0,"Street Food, Mithai",1,Budget crowd-pleasers
Upahara Darshini,Basavanagudi,4.2,255,150.0,South Indian,1,Budget crowd-pleasers
Cafe Arabica,Bannerghatta Road,3.8,69,700.0,"Cafe, Bakery, Arabian, Fast Food",1,Budget crowd-pleasers
Shanthi Sagar,JP Nagar,3.7,520,400.0,"South Indian, North Indian, Chinese",1,Budget crowd-pleasers
Krishna Vaibhava,BTM,3.5,42,350.0,"North Indian, South Indian",0,Underperformers
Chinese Square,Basavanagudi,3.9,39,200.0,Chinese,1,Budget crowd-pleasers
Smoke - The Sizzler House,Bannerghatta Road,3.8,94,1100.0,"Continental, Chinese, Thai, Italian, BBQ, Steak",1,Budget crowd-pleasers
Bhukkhad Baba,JP Nagar,3.7,133,250.0,"North Indian, Beverages",1,Budget crowd-pleasers
Prasiddhi Food Corner,JP Nagar,3.7,171,200.0,"Fast Food, North Indian, South Indian",1,Budget crowd-pleasers
Spice Up,JP Nagar,3.8,146,600.0,Chinese,1,Budget crowd-pleasers
Kaizen Wellness Kitchen,JP Nagar,3.7,37,800.0,"Asian, Continental, European",1,Budget crowd-pleasers
Taco Bell,Bannerghatta Road,4.0,910,600.0,"Mexican, American, Fast Food",1,Budget crowd-pleasers
Sri Rajasthani Foods,JP Nagar,3.6,11,200.0,"Rajasthani, North Indian",1,Budget crowd-pleasers
Smoor,Bannerghatta Road,3.6,17,900.0,"Desserts, Cafe, Beverages",1,Budget crowd-pleasers
Udupi Upachar,Banashankari,3.5,7,500.0,"South Indian, North Indian",0,Underperformers
House Of Kebabs,Basavanagudi,3.9,547,700.0,"North Indian, Kebab, Biryani, Chinese",1,Budget crowd-pleasers
Yummy Momos,JP Nagar,3.2,4,200.0,"Chinese, Tibetan, Fast Food",0,Underperformers
Green Onion,Bannerghatta Road,3.0,50,400.0,Chinese,0,Underperformers
Malabar Cafe,Bannerghatta Road,3.4,4,400.0,"South Indian, Kerala, Biryani",0,Underperformers
Faasos,JP Nagar,3.9,313,500.0,"North Indian, Biryani, Fast Food",1,Budget crowd-pleasers
Pizza Paradise,JP Nagar,3.5,61,500.0,Pizza,0,Underperformers
Chaitanya Grand,Bannerghatta Road,3.6,13,300.0,"South Indian, North Indian, Chinese",1,Budget crowd-pleasers
Anju's Cafe,JP Nagar,4.1,150,400.0,"Fast Food, North Indian, Continental",1,Budget crowd-pleasers
Zam Zam Darbar,BTM,2.9,84,500.0,"North Indian, Biryani, Chinese",0,Underperformers
Kadala Tarangaa,Banashankari,3.6,130,600.0,"Mangalorean, Seafood, North Indian",1,Budget crowd-pleasers
On The Nose,BTM,3.8,616,600.0,"Cafe, Italian, Mexican, Chinese",1,Budget crowd-pleasers
Paisa Vasool,Koramangala 7th Block,3.3,395,400.0,North Indian,0,Underperformers
Sri Raghavendra Davanagere Benne Dose Hotel,JP Nagar,4.0,38,200.0,South Indian,1,Budget crowd-pleasers
Al Hayath,BTM,3.5,17,200.0,"North Indian, Chinese",0,Underperformers
Brewz Coffee,BTM,3.0,61,650.0,Cafe,0,Underperformers
Bakers Town,BTM,3.5,42,600.0,"Cafe, Continental, Fast Food",0,Underperformers
Cravy Wings,Bannerghatta Road,4.2,289,400.0,"American, Burger, Fast Food",1,Budget crowd-pleasers
Pathaan Sir,Bannerghatta Road,3.3,34,300.0,"Rolls, Chinese",0,Underperformers
Bake and Juice,BTM,3.7,15,400.0,"Fast Food, North Indian",1,Budget crowd-pleasers
The Onyx - The HHI Select Bengaluru,JP Nagar,3.5,177,950.0,"North Indian, Chinese, Continental",0,Underperformers
The Chocolate Room,JP Nagar,3.9,154,400.0,"Cafe, Desserts",1,Budget crowd-pleasers
B.M.W Bhookh Mitaane Wala,JP Nagar,3.9,15,500.0,"North Indian, South Indian, Chinese",1,Budget crowd-pleasers
Soup Station,Bannerghatta Road,3.7,11,300.0,Continental,1,Budget crowd-pleasers
Indori Chatorey,BTM,2.8,137,300.0,"North Indian, Street Food",0,Underperformers
South Point Pub,Basavanagudi,3.4,11,800.0,"North Indian, Seafood, Chinese",0,Underperformers
Sambram Biriyani Paradise,JP Nagar,3.6,96,600.0,"Biryani, North Indian, Chinese",1,Budget crowd-pleasers
The Cravery,JP Nagar,2.6,18,500.0,Cafe,0,Underperformers
The Biriyani Pedia,BTM,4.0,58,300.0,"Biryani, North Indian",1,Budget crowd-pleasers
Sri Nandi Grand,BTM,3.5,7,300.0,"North Indian, South Indian",0,Underperformers
Baba Ka Dhaba,BTM,3.7,195,400.0,North Indian,1,Budget crowd-pleasers
RK Fresh Food,BTM,3.5,14,300.0,Fast Food,0,Underperformers
Dev's Gugababa,BTM,3.1,177,500.0,"Bengali, North Indian, Chinese",0,Underperformers
Tasty Magic,BTM,2.7,73,600.0,"Chinese, North Indian",0,Underperformers
Bawarchi Inn,BTM,3.0,140,600.0,"North Indian, Biryani, Andhra, Chinese",0,Underperformers
FRYBIES,Bannerghatta Road,3.3,15,350.0,Fast Food,0,Underperformers
Hungry Lion,Wilson Garden,3.0,16,200.0,"Street Food, Beverages",0,Underperformers
Nammura Upahara,JP Nagar,3.8,40,100.0,South Indian,1,Budget crowd-pleasers
Chilli Flakes,Banashankari,3.6,47,500.0,"Fast Food, Italian, Beverages",1,Budget crowd-pleasers
Kolkata King,Basavanagudi,3.6,6,300.0,"Fast Food, Rolls",1,Budget crowd-pleasers
SLV Swadishta,Banashankari,3.8,191,300.0,South Indian,1,Budget crowd-pleasers
Spar Refresh,Bannerghatta Road,3.5,5,300.0,"North Indian, South Indian, Pizza",0,Underperformers
Pushpa Darshini,JP Nagar,3.7,20,100.0,South Indian,1,Budget crowd-pleasers
Delight Food,BTM,2.7,174,450.0,"Andhra, Chinese, Biryani",0,Underperformers
Sampoorna,JP Nagar,3.6,70,600.0,"Chinese, North Indian",1,Budget crowd-pleasers
Eat Repeat Express,JP Nagar,3.2,20,700.0,"North Indian, South Indian, Chinese, Biryani, Mexican",0,Underperformers
Bikaner Jn,JP Nagar,3.9,85,300.0,Rajasthani,1,Budget crowd-pleasers
Parathe Wali Gali,Wilson Garden,3.9,37,250.0,North Indian,1,Budget crowd-pleasers
Upahar Sagar,Banashankari,3.8,39,350.0,"South Indian, Chinese, North Indian",1,Budget crowd-pleasers
Goli Vada Pav No. 1,JP Nagar,3.3,44,200.0,Street Food,0,Underperformers
Jaganath Restaurant And Hotel,JP Nagar,3.2,8,300.0,North Indian,0,Underperformers
Beach Hut,JP Nagar,3.5,134,650.0,"North Indian, Chinese",0,Underperformers
Udupi Gokul Cafe,BTM,3.8,58,300.0,South Indian,1,Budget crowd-pleasers
Marhaba,Bannerghatta Road,3.6,25,500.0,"Arabian, Mediterranean, North Indian",1,Budget crowd-pleasers
Shrinidhi Military Hotel,Basavanagudi,3.4,6,300.0,"North Indian, Mughlai",0,Underperformers
Sri Devi Baker's,BTM,3.9,41,200.0,"Bakery, Street Food",1,Budget crowd-pleasers
Amrit,JP Nagar,3.4,24,600.0,"North Indian, Seafood",0,Underperformers
Re Malnad Nati Style Hotel,JP Nagar,3.6,16,400.0,South Indian,1,Budget crowd-pleasers
Insta Cafe,BTM,2.9,7,400.0,"Cafe, Continental, Pizza, Italian, Beverages",0,Underperformers
Cafe Alchemist,BTM,3.8,62,300.0,"Fast Food, Juices",1,Budget crowd-pleasers
Naati Manae,JP Nagar,3.1,10,500.0,"South Indian, Biryani",0,Underperformers
Chokha Chowka,BTM,3.8,358,400.0,"North Indian, Chinese",1,Budget crowd-pleasers
Juice Fresco & Pizza,JP Nagar,3.4,12,300.0,"Beverages, Pizza",0,Underperformers
Karavali Fish Center,Banashankari,3.4,10,300.0,"Mangalorean, Chinese",0,Underperformers
Delhi Ke Bawarchi,JP Nagar,4.0,88,500.0,"North Indian, Chinese, Fast Food",1,Budget crowd-pleasers
Golden Grill Restaurant,BTM,3.5,18,550.0,"Arabian, Chinese, North Indian, Kerala, Seafood",0,Underperformers
Venkateshwara Sweets and Restaurant,JP Nagar,3.6,41,400.0,"South Indian, Mithai, Chinese, North Indian",1,Budget crowd-pleasers
Eat N Drink,BTM,3.8,87,250.0,Fast Food,1,Budget crowd-pleasers
Chung Wah Opus,JP Nagar,3.0,57,650.0,"Chinese, Thai",0,Underperformers
Upahara Darshini,Basavanagudi,4.0,40,600.0,"North Indian, Chinese, South Indian, Fast Food",1,Budget crowd-pleasers
Sai Shiv Sagar,Bannerghatta Road,2.8,14,300.0,"South Indian, North Indian",0,Underperformers
Vijaya Sagar,Wilson Garden,3.6,15,300.0,"South Indian, North Indian, Chinese",1,Budget crowd-pleasers
New Shanthi Sagar,Basavanagudi,2.7,49,600.0,"South Indian, North Indian, Chinese, Street Food",0,Underperformers
As On Fire,South Bangalore,3.4,41,400.0,"Pizza, Fast Food, BBQ",0,Underperformers
Targaryen's Kitchen,JP Nagar,3.6,43,600.0,"Chinese, North Indian, Mughlai",1,Budget crowd-pleasers
Flavour of China,BTM,3.8,254,600.0,Chinese,1,Budget crowd-pleasers
Sri Yaksha Shiv Sagar,Banashankari,3.6,24,600.0,"North Indian, Chinese",1,Budget crowd-pleasers
New Royal Treat,Bannerghatta Road,2.8,102,350.0,"North Indian, Chinese",0,Underperformers
SLV Restaurant,JP Nagar,4.1,379,300.0,"South Indian, North Indian, Chinese",1,Budget crowd-pleasers
Keshava Kabab Centre,JP Nagar,3.2,7,200.0,North Indian,0,Underperformers
Kabab Mehal,JP Nagar,3.7,66,400.0,"Kebab, North Indian, Fast Food, Beverages",1,Budget crowd-pleasers
Fillers,BTM,3.9,139,300.0,"North Indian, Fast Food",1,Budget crowd-pleasers
Dal Roti,JP Nagar,3.7,117,150.0,North Indian,1,Budget crowd-pleasers
Tiwari's,Bannerghatta Road,3.8,75,200.0,"North Indian, Street Food",1,Budget crowd-pleasers
Burrito Boys,Bannerghatta Road,3.0,6,400.0,"Mexican, Tex-Mex",0,Underperformers
Thayee Touch,JP Nagar,3.6,30,450.0,"North Indian, Chinese, South Indian",1,Budget crowd-pleasers
Kydz Adda,Banashankari,3.4,6,500.0,Continental,0,Underperformers
Cuppa,JP Nagar,3.4,48,550.0,Cafe,0,Underperformers
The Pavillion,JP Nagar,2.8,43,1000.0,"North Indian, Continental, South Indian, Chinese",0,Underperformers
Cafe Talk,Bannerghatta Road,3.3,14,700.0,"Cafe, Continental, North Indian, Bakery, Desserts",0,Underperformers
Shringar Sweets & Snacks,Basavanagudi,3.5,11,200.0,"Mithai, South Indian, Street Food, Fast Food",0,Underperformers
Kamat Swaad,JP Nagar,3.9,194,400.0,"South Indian, North Indian, Chinese",1,Budget crowd-pleasers
Mast Kalandar,JP Nagar,2.3,176,450.0,North Indian,0,Underperformers
K27 - The Pub,Banashankari,3.1,30,1000.0,"Chinese, North Indian",0,Underperformers
"Malnad Blossom, Coffee & Cream",JP Nagar,3.8,33,300.0,Cafe,1,Budget crowd-pleasers
Hearts Unlock Cafe,BTM,3.1,11,500.0,"Cafe, Healthy Food",0,Underperformers
Apna Punjab,BTM,3.7,478,450.0,"North Indian, Chinese, Fast Food",1,Budget crowd-pleasers
Udupi Thaja Thindi,BTM,2.9,42,250.0,"North Indian, South Indian, Chinese, Fast Food",0,Underperformers
Cafe 221B,BTM,3.7,49,300.0,"Cafe, Beverages",1,Budget crowd-pleasers
Ruchi's Corner,Banashankari,2.7,123,200.0,Fast Food,0,Underperformers
Chaitanya Cafe,JP Nagar,3.9,92,300.0,"South Indian, North Indian, Fast Food",1,Budget crowd-pleasers
Indian Paratha Factory,BTM,2.7,24,250.0,North Indian,0,Underperformers
Darbar,Banashankari,3.0,98,800.0,"North Indian, Chinese",0,Underperformers
NEW SUNRISE RESTAURANTS,JP Nagar,2.7,39,500.0,"North Indian, Chinese, Biryani",0,Underperformers
Turquoise,JP Nagar,2.8,56,1200.0,North Indian,0,Underperformers
Dash In,BTM,3.1,53,600.0,"North Indian, Chinese, Kerala",0,Underperformers
Cafe Hush,BTM,3.6,22,500.0,"Cafe, Fast Food",1,Budget crowd-pleasers
The Brew - Aurick Boutique Hotel,JP Nagar,3.1,16,700.0,"North Indian, South Indian, Chinese, Grill",0,Underperformers
The Maori - Aurick Boutique Hotel,JP Nagar,3.5,44,1000.0,"Chinese, North Indian",0,Underperformers
Targaryen's Kitchen,JP Nagar,3.6,25,550.0,"North Indian, Bengali, Chinese",1,Budget crowd-pleasers
Amaravati Grand,BTM,3.3,7,550.0,"Chinese, Andhra, Mangalorean",0,Underperformers
Sea Horse,JP Nagar,3.4,9,500.0,"Seafood, Chinese, South Indian, North Indian",0,Underperformers
Durbari Restaurant,JP Nagar,3.2,4,600.0,"North Indian, Chinese, Mughlai",0,Underperformers
Chai Mane,Basavanagudi,3.2,6,100.0,"Beverages, Sandwich",0,Underperformers
Anand Sagar Inn,Basavanagudi,3.2,6,450.0,"South Indian, North Indian, Chinese",0,Underperformers
Sri Brahmi Kuteera,JP Nagar,3.4,0,150.0,South Indian,0,Underperformers
Udupi Upachar,JP Nagar,3.3,13,300.0,"South Indian, North Indian, Chinese, Street Food",0,Underperformers
Desi Vdesi,BTM,3.8,50,250.0,"Fast Food, North Indian, Rolls",1,Budget crowd-pleasers
Miss Momo,BTM,3.2,10,250.0,"Tibetan, Momos",0,Underperformers
Wow Momo,JP Nagar,3.4,12,300.0,"Tibetan, Momos",0,Underperformers
Mangalore Lunch Home,BTM,3.7,43,250.0,"North Indian, South Indian, Mangalorean",1,Budget crowd-pleasers
David's Kitchen,BTM,3.7,14,200.0,"North Indian, South Indian, Chinese",1,Budget crowd-pleasers
Meat And Eat,Wilson Garden,3.2,4,500.0,"Fast Food, Burger",0,Underperformers
Indian Kitchen Eateries-IKE,BTM,3.4,8,150.0,Fast Food,0,Underperformers
Chatar Patar,Banashankari,3.6,65,300.0,"Fast Food, Street Food",1,Budget crowd-pleasers
Calvin's,JP Nagar,2.9,231,800.0,"Desserts, Italian, Pizza",0,Underperformers
Magix's Parattha Roll,BTM,3.8,185,400.0,"Fast Food, North Indian, Chinese, Mughlai, Rolls",1,Budget crowd-pleasers
Hotel Aradhana,Bannerghatta Road,3.7,51,300.0,North Indian,1,Budget crowd-pleasers
Khan's Biryani,BTM,3.0,11,200.0,"Biryani, North Indian",0,Underperformers
Armaani Caffe,BTM,3.5,12,250.0,Fast Food,0,Underperformers
Chicken Corner,BTM,3.7,26,400.0,"Biryani, North Indian, Fast Food, Chinese",1,Budget crowd-pleasers
Earth Plate Express,JP Nagar,3.9,33,600.0,"Italian, Continental",1,Budget crowd-pleasers
Great Indian Rolls,Basavanagudi,3.2,4,100.0,Rolls,0,Underperformers
Singh Punjabi Dhaba,BTM,3.8,67,400.0,"North Indian, Chinese",1,Budget crowd-pleasers
Rolls On Wheels,BTM,2.8,127,300.0,"Fast Food, Rolls, Momos",0,Underperformers
Sri Vishnupriya,BTM,3.0,67,300.0,"South Indian, North Indian, Chinese",0,Underperformers
Waikiki,JP Nagar,3.2,5,200.0,"Fast Food, Beverages",0,Underperformers
Kidambi's Kitchen,Banashankari,3.4,52,300.0,South Indian,0,Underperformers
Pappu Chaiwalla,JP Nagar,3.6,141,300.0,"Fast Food, Tea, Beverages",1,Budget crowd-pleasers
Kholi Mane,Basavanagudi,3.6,46,450.0,"Andhra, South Indian, Biryani, North Indian",1,Budget crowd-pleasers
Aarya Pork Hotel,BTM,3.4,12,300.0,"South Indian, Biryani, Chinese",0,Underperformers
Sri Krishna Sagar,BTM,3.5,12,200.0,"South Indian, North Indian, Chinese",0,Underperformers
Gopal Kabab Centre,JP Nagar,3.4,4,350.0,North Indian,0,Underperformers
Harshi Super Sandwich,Basavanagudi,3.8,149,150.0,"Fast Food, Street Food",1,Budget crowd-pleasers
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,BTM,3.7,41,450.0,"Biryani, North Indian",1,Budget crowd-pleasers
Ma-Arya Family Restaurant,BTM,3.1,8,600.0,"Biryani, South Indian, North Indian, Chinese, Andhra",0,Underperformers
Famous Dum Biriyani,Wilson Garden,3.1,6,200.0,Biryani,0,Underperformers
Amravathi Restaurants & Caterers,BTM,3.1,6,400.0,"North Indian, Chinese",0,Underperformers
Shater Grill House,BTM,3.5,8,700.0,"North Indian, Arabian, Chinese",0,Underperformers
Ghee Rice Family Restaurant,Wilson Garden,3.3,16,600.0,"North Indian, Chinese, Biryani",0,Underperformers
Juice Buzz,JP Nagar,3.1,10,200.0,Juices,0,Underperformers
Shri Vinayaka Ice N Juice,Basavanagudi,3.1,12,150.0,"Beverages, Fast Food",0,Underperformers
Inchara Restaurant,Basavanagudi,3.3,0,300.0,"North Indian, Chinese",0,Underperformers
The Cuboidal,BTM,3.6,16,300.0,"Fast Food, Beverages, Sandwich",1,Budget crowd-pleasers
Pout,BTM,4.0,40,400.0,Beverages,1,Budget crowd-pleasers
Thrupthi Restaurant,Bannerghatta Road,3.4,15,150.0,Kerala,0,Underperformers
Panchami Garden,Bannerghatta Road,3.6,56,400.0,"South Indian, North Indian",1,Budget crowd-pleasers
Cafe Bollywood,JP Nagar,3.4,25,200.0,Street Food,0,Underperformers
Food Junction,BTM,3.6,42,400.0,"North Indian, Chinese, Street Food, Biryani",1,Budget crowd-pleasers
Shaahi Mezbaan Restaurant,BTM,3.1,9,350.0,North Indian,0,Underperformers
Gelato Pazzo,BTM,3.8,47,200.0,Desserts,1,Budget crowd-pleasers
Karavali Lunch Home,BTM,3.3,4,200.0,Kerala,0,Underperformers
Little Shangai,Bannerghatta Road,3.3,4,400.0,"Chinese, North Indian, Fast Food",0,Underperformers
Bruncherz,BTM,3.5,15,200.0,"North Indian, Chinese",0,Underperformers
What the Food,BTM,3.6,38,250.0,"North Indian, Chinese, Fast Food",1,Budget crowd-pleasers
Loca Moca - The Indian Grub,Bannerghatta Road,3.4,4,600.0,"North Indian, Biryani",0,Underperformers
Shanghai Times,Bannerghatta Road,3.1,23,450.0,"Chinese, Asian",0,Underperformers
Singh Da Dhaba,BTM,3.3,5,400.0,North Indian,0,Underperformers
Essential Kitchen,Wilson Garden,3.3,4,500.0,"Chinese, Fast Food",0,Underperformers
New Farm Fresh,BTM,3.6,34,650.0,"Italian, Pizza",1,Budget crowd-pleasers
Cane Recipes,Bannerghatta Road,3.5,14,100.0,Juices,0,Underperformers
Hot Burg,BTM,3.5,14,300.0,"Fast Food, Juices",0,Underperformers
Amrutha Mess,BTM,3.4,6,300.0,Kerala,0,Underperformers
Desi Adda,BTM,3.3,22,300.0,"North Indian, Chinese",0,Underperformers
Sri Sapana Dhaba,BTM,3.2,11,250.0,North Indian,0,Underperformers
Bamboo Heights,BTM,3.7,112,500.0,"Chinese, Fast Food, Continental",1,Budget crowd-pleasers
Top Foam Parantha Roll & Juice Centre,BTM,3.5,13,300.0,"North Indian, Chinese, Fast Food, Rolls",0,Underperformers
SB FOODS,JP Nagar,3.3,4,250.0,South Indian,0,Underperformers
Ambur Azad Darbar,BTM,3.1,6,250.0,"North Indian, Fast Food, Biryani",0,Underperformers
Anamika Roll Centre,Wilson Garden,3.2,4,300.0,"North Indian, Fast Food, Rolls",0,Underperformers
Tandoori Spot,JP Nagar,3.5,13,500.0,"North Indian, Chinese",0,Underperformers
Naga's,Bannerghatta Road,2.7,20,500.0,"Hyderabadi, Andhra, North Indian",0,Underperformers
Thindi Mane,JP Nagar,3.5,6,300.0,South Indian,0,Underperformers
Shiv Sagar,Bannerghatta Road,3.5,10,400.0,"South Indian, Beverages",0,Underperformers
C K Bake & Juice,BTM,3.1,10,150.0,"Juices, Street Food",0,Underperformers
Desi Bites,Bannerghatta Road,3.2,4,200.0,Street Food,0,Underperformers
South Indian Kitchen,JP Nagar,3.3,6,300.0,"Asian, BBQ, South Indian, Chinese",0,Underperformers
Hotel Mirchi Red,BTM,3.1,32,400.0,"North Indian, Chinese",0,Underperformers
Food And You,BTM,3.9,35,350.0,"North Indian, South Indian, Gujarati",1,Budget crowd-pleasers
Woodee Pizza,JP Nagar,2.7,85,500.0,"Cafe, Pizza, Fast Food, Beverages",0,Underperformers
Mongolian Kitchen,BTM,3.8,30,300.0,"Chinese, Mongolian",1,Budget crowd-pleasers
Juicy Momos,Bannerghatta Road,3.1,21,250.0,"Tibetan, Momos",0,Underperformers
Grill N Chill,BTM,3.1,17,400.0,"North Indian, Chinese",0,Underperformers
Chilly N Chicken,JP Nagar,3.5,14,250.0,"Andhra, Biryani",0,Underperformers
Gandharva Family Restaurant,Basavanagudi,3.6,36,900.0,"North Indian, Chinese",1,Budget crowd-pleasers
Kakal-Kai Ruchi,JP Nagar,3.8,89,400.0,"Fast Food, North Indian, Chinese, South Indian",1,Budget crowd-pleasers
The 90s Hash House,BTM,3.8,63,500.0,Cafe,1,Budget crowd-pleasers
Sri Krishna Sagar,JP Nagar,3.1,54,300.0,"South Indian, North Indian, Chinese, Street Food",0,Underperformers
Marunadan Kada,BTM,3.3,6,250.0,"Kerala, Tea",0,Underperformers
Fresh Kitchen,Bannerghatta Road,3.3,25,600.0,"North Indian, Chinese",0,Underperformers
PHEW (Play Hard Eat Wild),BTM,3.9,487,700.0,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",1,Budget crowd-pleasers
Ambur Hot Dum Biryani,BTM,3.5,21,200.0,Biryani,0,Underperformers
Hotel Empark,Wilson Garden,3.4,16,800.0,"Chinese, North Indian, Arabian",0,Underperformers
Chai Point,BTM,4.0,113,250.0,"Tea, Beverages, Fast Food",1,Budget crowd-pleasers
Sri Lakshmi Dhaba,BTM,3.0,260,250.0,North Indian,0,Underperformers
Cafe Mist,JP Nagar,3.8,187,500.0,"Cafe, American, Continental, Italian",1,Budget crowd-pleasers
Sri Punjabi Dhaba,BTM,3.3,50,400.0,North Indian,0,Underperformers
Once Upon a Rooftop,Jayanagar,4.3,1248,1000.0,"Pizza, Italian, Chinese, Thai",2,Hidden gems
55 Wall Street,JP Nagar,3.9,1786,1300.0,"Finger Food, North Indian, Chinese",2,Hidden gems
Crumb Together,JP Nagar,4.1,592,1200.0,"Continental, Finger Food, North Indian, Chinese",2,Hidden gems
